port_name,n_port_calls,median_wait,median_total,std_wait,std_total
ITAQUI,2519,0.0,61.11666666666667,0.0,107.3106108938087
SANTOS,17214,0.0,54.333333333333336,136.58784639998115,380.19540934529175
VILA DO CONDE,2681,0.0,50.416666666666664,39.301088635195356,98.20467012127061
NITERÓI,2139,0.0,47.583333333333336,9.415540289687529,1626.453580594445
SUAPE,4779,0.0,46.2,61.36135659953323,1342.2137522244295
RIO GRANDE,5483,0.0,45.083333333333336,12.247342073396057,106.10833668302178
RIO DE JANEIRO,26648,0.0,43.166666666666664,6.398476180360713,1339.551609759781
TERMINAL TRANSPETRO - GEBAST - SÃO SEBASTIÃO - SP,2012,0.0,35.75,24.37087583285754,76.25072091238631
PARANAGUA,8115,0.0,31.95,6.052916558450014,207.4014692399548
TERMINAL PETROBRÁS - MACAÉ - RJ,3531,4.666666666666667,28.5,24.09318680793473,66.97883691408823
PECEM,2414,0.0,27.025,73.6280634922485,979.0846641637435
PORTO DO AÇU,11287,0.0,23.25,28.72258626264849,94.61454338553733
ITAPOA - SC,2042,0.0,20.4,0.0,14.31896691706418
SALVADOR,2437,0.0,15.916666666666666,7.95453947289191,320.22374853339613
AREIA BRANCA (TERMISA),3695,0.0,5.25,0.0,25.973216810748742
